	Lat	Lon	ps (cm)
	15.0	106.75	9.183828270620968
	15.0	107.0	8.90036453859623
	15.0	107.25	8.099093529227632
	15.0	107.5	7.770643966582984
	15.0	107.75	7.76760621930135
	15.0	108.0	7.191360578982547
	15.0	108.25	6.209480763468558
	15.0	108.5	4.649447466313336
	15.0	108.75	2.454909964288007
	15.0	109.0	1.493133492694464
	15.0	109.25	1.3558775049994565
	15.0	109.5	1.906646783146789
	15.0	109.75	4.261223182162196
	15.0	110.0	8.968142364093543
	15.0	110.25	12.517704534911845
	15.0	110.5	12.892637986101407
	15.0	110.75	12.909025593220722
	15.0	111.0	11.804902131621638
	15.0	111.25	12.010157178242576
	15.0	111.5	13.885290130485265
	15.0	111.75	14.89706223518417
	15.0	112.0	14.198668258058497
	15.0	112.25	13.736408247493593
	15.0	112.5	14.148682789219352
	15.0	112.75	15.008609232292201
	15.0	113.0	16.01534003626687
	15.0	113.25	17.330121064523475
	15.0	113.5	18.27383222135662
	15.0	113.75	18.00880924605317
	15.0	114.0	16.458257590184424
	15.0	114.25	14.069839561290795
	15.0	114.5	12.616617170385398
	15.0	114.75	12.19506154269568
	15.0	115.0	12.08578763908033
	15.0	115.25	11.618079946909198
	15.0	115.5	11.448485543192847
	15.0	115.75	12.245513683306362
	15.0	116.0	13.190961945315614
	15.0	116.25	13.660353732890334
	15.0	116.5	13.606377930036452
	15.0	116.75	13.559367581550479
	15.0	117.0	13.559110495195831
	15.0	117.25	13.948830915172364
	15.0	117.5	15.311646941842067
	15.0	117.75	17.232556019434085
	15.0	118.0	19.316400405949246
	15.0	118.25	20.43891770262499
	15.0	118.5	20.26042783026928
	15.0	118.75	19.22346864824911
	15.0	119.0	17.604090749285913
	15.0	119.25	16.05259875285485
	15.0	119.5	15.04409635245001
	15.0	119.75	14.777114108565339
	15.0	120.0	14.602837206386036
	15.0	120.25	14.437826416216687
	15.0	120.5	14.636055310299238
	15.0	120.75	15.265667139423222
	15.0	121.0	16.123846820212606
	15.0	121.25	16.89956903022757
	15.0	121.5	17.566904280111608
	15.0	121.75	17.686893426686083
	15.0	122.0	17.224529391919635
	15.0	122.25	16.72523220448829
	15.0	122.5	16.48156655435918
	15.0	122.75	16.524324204470567
	15.0	123.0	16.68581170305564
	15.0	123.25	16.687614603517083
	15.0	123.5	17.135030317457154
	15.0	123.75	17.53612972062977
	15.0	124.0	17.60961972504656
	15.0	124.25	16.932771938235383
	15.0	124.5	15.987404434367795
	15.0	124.75	15.14226879096392
	15.0	125.0	14.709642908984362
	15.0	125.25	14.646810916237701
	15.0	125.5	14.708922298129576
	15.0	125.75	14.927491762272261
	15.0	126.0	15.31637638081542
