	Lat	Lon	ps (cm)
	55.0	77.75	14.460010101010129
	55.0	78.0	14.917616161616134
	55.0	78.25	15.279993265993301
	55.0	78.5	15.815538720538694
	55.0	78.75	16.273478114478078
	55.0	79.0	16.273478114478078
	55.0	79.25	16.530787878787972
	55.0	79.5	16.49595959595959
	55.0	79.75	16.23909764309757
	55.0	80.0	16.115639730639774
	55.0	80.25	16.14084848484852
	55.0	80.5	16.1235488215488
	55.0	80.75	16.124659932659902
	55.0	81.0	16.150454545454554
	55.0	81.25	16.244922558922553
	55.0	81.5	16.093441077441142
	55.0	81.75	15.718589225589236
	55.0	82.0	15.093912457912412
	55.0	82.25	13.749471380471382
	55.0	82.5	11.775434343434332
	55.0	82.75	10.715121212121204
	55.0	83.0	10.943929292929301
	55.0	83.25	11.867363636363622
	55.0	83.5	12.68850841750843
	55.0	83.75	13.149872053872011
	55.0	84.0	13.547740740740785
	55.0	84.25	13.880797979798029
	55.0	84.5	14.212404040404076
	55.0	84.75	14.590505050505056
	55.0	85.0	15.094185185185102
	55.0	85.25	15.487518518518481
	55.0	85.5	15.487518518518481
	55.0	85.75	15.24210101010101
	55.0	86.0	14.630730639730649
	55.0	86.25	13.101565656565626
	55.0	86.5	10.783861952861976
	55.0	86.75	7.922016835016853
	55.0	87.0	5.35975084175085
	55.0	87.25	3.757784511784512
	55.0	87.5	2.863821548821546
	55.0	87.75	2.4804040404040424
	55.0	88.0	2.545107744107742
	55.0	88.25	3.1973771043771113
	55.0	88.5	4.628676767676772
	55.0	88.75	6.548734006733993
	55.0	89.0	7.889282828282862
	55.0	89.25	8.214131313131322
	55.0	89.5	8.09250841750843
	55.0	89.75	8.427673400673397
	55.0	90.0	8.932794612794622
	55.0	90.25	9.218205387205389
	55.0	90.5	9.37198653198652
	55.0	90.75	9.335037037037017
	55.0	91.0	9.615831649831664
	55.0	91.25	9.452373737373732
	55.0	91.5	8.242515151515146
	55.0	91.75	8.242515151515146
	55.0	92.0	6.3804141414141355
	55.0	92.25	4.888959595959579
	55.0	92.5	3.8472525252525083
	55.0	92.75	3.593558922558924
	55.0	93.0	4.397942760942774
	55.0	93.25	5.9099225589225695
	55.0	93.5	7.475508417508432
	55.0	93.75	8.092612794612792
	55.0	94.0	7.514700336700344
	55.0	94.25	7.165030303030312
	55.0	94.5	7.668821548821526
	55.0	94.75	8.276393939393918
	55.0	95.0	8.122461279461294
	55.0	95.25	7.365973063973066
	55.0	95.5	6.102855218855227
	55.0	95.75	4.611713804713818
	55.0	96.0	3.4601043771043853
	55.0	96.25	3.010737373737368
	55.0	96.5	2.6115488215488236
	55.0	96.75	2.3073400673400672
	55.0	97.0	2.404474747474744
	55.0	97.25	2.849161616161626
	55.0	97.5	3.518979797979797
	55.0	97.75	4.345262626262613
	55.0	98.0	4.345262626262613
	55.0	98.25	5.4311010101010115
	55.0	98.5	6.968047138047122
	55.0	98.75	8.68778451178449
	55.0	99.0	9.469117845117868
	55.0	99.25	9.45479797979794
	55.0	99.5	8.92804713804713
	55.0	99.75	9.02094949494949
	55.0	100.0	9.828249158249163
	55.0	100.25	11.237626262626268
	55.0	100.5	12.61710101010097
	55.0	100.75	12.663626262626263
	55.0	101.0	11.28663299663299
	55.0	101.25	9.853154882154936
	55.0	101.5	9.262966329966334
	55.0	101.75	9.259023569023585
	55.0	102.0	8.616744107744077
	55.0	102.25	6.863589225589232
	55.0	102.5	5.682801346801343
	55.0	102.75	5.494599326599311
	55.0	103.0	5.811717171717192
	55.0	103.25	5.848286195286195
	55.0	103.5	5.6604646464646455
	55.0	103.75	5.818329966329948
	55.0	104.0	6.006451178451197
	55.0	104.25	6.006451178451197
	55.0	104.5	5.786508417508421
	55.0	104.75	5.6439292929292995
