	Lat	Lon	ps (cm)
	15.0	79.0	9.714489123269596
	15.0	79.25	10.003289386947882
	15.0	79.5	10.200388925510879
	15.0	79.75	9.971130520764667
	15.0	80.0	9.882600527356617
	15.0	80.25	9.8486750164799
	15.0	80.5	9.90049439683588
	15.0	80.75	9.859251812788381
	15.0	81.0	9.967198417930133
	15.0	81.25	10.027534607778504
	15.0	81.5	9.820695451549154
	15.0	81.75	9.550257086354625
	15.0	82.0	9.104070533948565
	15.0	82.25	8.09647330257088
	15.0	82.5	6.560435069215583
	15.0	82.75	5.5528872775214
	15.0	83.0	5.7574588002636915
	15.0	83.25	6.833932102834557
	15.0	83.5	7.844337508239968
	15.0	83.75	8.241638101516159
	15.0	84.0	8.5257580751483
	15.0	84.25	8.524963744232025
	15.0	84.5	8.624986816084359
	15.0	84.75	8.729054054053998
	15.0	85.0	9.139779169413332
	15.0	85.25	9.34108767303891
	15.0	85.5	9.390810810810827
	15.0	85.75	9.466746868820037
	15.0	86.0	9.156608437706007
	15.0	86.25	8.306914963744294
	15.0	86.5	6.868230059327642
	15.0	86.75	5.13626565589981
	15.0	87.0	3.3849143045484706
	15.0	87.25	2.3195220830586774
	15.0	87.5	1.8943078444298007
	15.0	87.75	1.7015425181278832
	15.0	88.0	1.7579367172050149
	15.0	88.25	2.0554581410679025
	15.0	88.5	2.7880421885299933
	15.0	88.75	4.121858932102833
	15.0	89.0	5.117214897824652
	15.0	89.25	5.556572181938029
	15.0	89.5	5.576997363216867
	15.0	89.75	5.6484772577455145
	15.0	90.0	5.798651944627589
	15.0	90.25	5.838675016479847
	15.0	90.5	5.714878048780506
	15.0	90.75	5.212903757415944
	15.0	91.0	4.792435728411324
	15.0	91.25	4.342297297297273
	15.0	91.5	3.5339123269611084
	15.0	91.75	3.508384970336192
	15.0	92.0	2.4602471984179295
	15.0	92.25	1.7332300593276073
	15.0	92.5	1.5787277521423855
	15.0	92.75	1.865355965721813
	15.0	93.0	2.56585365853658
	15.0	93.25	3.4951087673038863
	15.0	93.5	4.465873434410043
	15.0	93.75	5.0326862228081835
	15.0	94.0	4.766114040870139
	15.0	94.25	4.589564930784448
	15.0	94.5	4.894156229400112
	15.0	94.75	5.187356624917601
	15.0	95.0	5.101235992089661
	15.0	95.25	4.62877389584707
	15.0	95.5	3.8803559657218254
	15.0	95.75	3.102406064601182
	15.0	96.0	2.476806196440333
	15.0	96.25	2.1736321687541156
	15.0	96.5	1.9442715886618254
	15.0	96.75	1.820402109426492
	15.0	97.0	1.9092320369149607
	15.0	97.25	2.12377389584705
	15.0	97.5	2.4885695451549146
	15.0	97.75	2.943648648648632
	15.0	98.0	2.950718523401432
	15.0	98.25	3.589311140408702
	15.0	98.5	4.479423203691512
	15.0	98.75	5.477537903757391
	15.0	99.0	6.059680290046106
	15.0	99.25	6.118922214897801
	15.0	99.5	5.89588991430454
	15.0	99.75	6.111868820039544
	15.0	100.0	6.478279499011204
	15.0	100.25	7.173595912986165
	15.0	100.5	7.723009228740941
	15.0	100.75	7.685418589321052
	15.0	101.0	7.04516150296638
	15.0	101.25	6.139545154911018
	15.0	101.5	5.50859591298615
	15.0	101.75	4.963012524719849
	15.0	102.0	4.259152933421216
	15.0	102.25	3.5292254449571456
	15.0	102.5	3.1259690177982677
	15.0	102.75	2.960464733025716
	15.0	103.0	2.934083717864212
	15.0	103.25	3.0672874093606035
	15.0	103.5	3.4204976928147572
	15.0	103.75	3.8786717205009844
	15.0	104.0	4.242857613711276
	15.0	104.25	4.242857613711276
	15.0	104.5	4.410000000000008
	15.0	104.75	4.363183915622936
	15.0	105.0	4.409110085695457
	15.0	105.25	4.4010810810810925
	15.0	105.5	4.453813447593931
	15.0	105.75	4.68305866842451
	15.0	106.0	5.240873434410005
	15.0	106.25	6.1427224785761565
	15.0	106.5	7.081783124587975
	15.0	106.75	7.6464073829927655
	15.0	107.0	7.465072511535902
	15.0	107.25	6.919288068556317
	15.0	107.5	6.6616381015161386
	15.0	107.75	6.601704021094275
	15.0	108.0	5.892940013183943
	15.0	108.25	4.664597890573486
	15.0	108.5	2.7220632827949918
	15.0	108.75	0.8347626895187873
	15.0	109.0	0.10417270929466053
	15.0	109.25	0.08199406723796973
	15.0	109.5	0.2441891891891891
	15.0	109.75	1.3356921555702037
	15.0	110.0	5.783661832564243
	15.0	110.25	10.195079103493761
	15.0	110.5	10.977036914963774
	15.0	110.75	11.009812129202405
	15.0	111.0	10.171427158866189
	15.0	111.25	10.361193144363861
	15.0	111.5	11.86994726433753
	15.0	111.75	12.86172379696762
	15.0	112.0	12.57016479894526
	15.0	112.25	12.29632827949892
	15.0	112.5	12.683503625576794
	15.0	112.75	13.53251812788403
	15.0	113.0	14.458127883981478
	15.0	113.25	15.586107448912312
	15.0	113.5	16.392290705339526
	15.0	113.75	16.13520435069213
	15.0	114.0	14.865154911008556
	15.0	114.25	12.848796967699483
	15.0	114.5	11.555062623599165
	15.0	114.75	11.139288068556349
	15.0	115.0	11.096272247857655
	15.0	115.25	10.798829927488447
	15.0	115.5	10.72399802241268
	15.0	115.75	11.401542518127908
	15.0	116.0	12.21868820039553
	15.0	116.25	12.68904416611733
	15.0	116.5	12.696173368490426
	15.0	116.75	12.646977587343434
	15.0	117.0	12.64646341463414
	15.0	117.25	12.947880685563618
	15.0	117.5	13.990893210283469
	15.0	117.75	15.611519446275551
	15.0	118.0	17.361743572841156
	15.0	118.25	18.226700725115336
	15.0	118.5	18.050448253131176
	15.0	118.75	17.246816084376988
	15.0	119.0	15.817514831905138
	15.0	119.25	14.42614700065922
	15.0	119.5	13.526526038233321
	15.0	119.75	13.269878048780491
	15.0	120.0	13.05620303230064
	15.0	120.25	12.911110744891262
	15.0	120.5	13.077366512854338
	15.0	120.75	13.607768622280767
	15.0	121.0	14.31327949901113
	15.0	121.25	14.994686882003952
	15.0	121.5	15.5587277521424
	15.0	121.75	15.61911008569546
	15.0	122.0	15.13867831245879
	15.0	122.25	14.626417270929473
	15.0	122.5	14.366947923533226
	15.0	122.75	14.414284772577542
	15.0	123.0	14.609663810151638
	15.0	123.25	14.61326961107452
	15.0	123.5	14.960154911008528
	15.0	123.75	15.294054054054081
	15.0	124.0	15.358263019116642
	15.0	124.25	14.879604482531356
	15.0	124.5	14.137307185233965
	15.0	124.75	13.369271588661846
	15.0	125.0	12.957205009887911
	15.0	125.25	12.855830586684169
	15.0	125.5	12.871430454845036
	15.0	125.75	13.006545814106785
	15.0	126.0	13.315692155570213
	15.0	126.25	13.596361239288074
	15.0	126.5	13.585573500329593
	15.0	126.75	13.167689518787034
	15.0	127.0	12.767824653922215
	15.0	127.25	12.559947264337488
